日期,台灣水泥股份有限公司蘇澳廠-P101 #3旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P101 #3旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P102 #3冷卻機-不透光率(10%)-超標,台灣水泥股份有限公司蘇澳廠-P202 #3旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P202 #3旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P301 #6旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P301 #6旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P302 #6冷卻機-不透光率(10%)-超標,信大水泥股份有限公司南聖湖廠-P201 #2旋窯-不透光率(20%)-超標,信大水泥股份有限公司南聖湖廠-P201 #2旋窯-氮氧化物(450ppm)-超標,信大水泥股份有限公司南聖湖廠-P203 #2冷卻機-不透光率(10%)-超標,信大水泥股份有限公司南聖湖廠-P301 #3旋窯-不透光率(20%)-超標,信大水泥股份有限公司南聖湖廠-P301 #3旋窯-氮氧化物(450ppm)-超標,信大水泥股份有限公司南聖湖廠-P304 #3冷卻機-不透光率(10%)-超標,幸福水泥股份有限公司東澳廠-P002 #2旋窯-不透光率(20%)-超標,幸福水泥股份有限公司東澳廠-P002 #2旋窯-氮氧化物(450ppm)-超標,幸福水泥股份有限公司東澳廠-P004 #2冷卻機-不透光率(10%)-超標,臺灣化學纖維股份有限公司龍德廠-P105 LT2鍋爐-不透光率(20%)-超標,臺灣化學纖維股份有限公司龍德廠-P105 LT2鍋爐-二氧化硫(20ppm)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-不透光率(20%)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-二氧化硫(20ppm)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-氮氧化物(50ppm)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P002 旋窯-不透光率(20%)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P002 旋窯-氮氧化物(450ppm)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P007 冷卻機-不透光率(10%)-超標,羅東鋼鐵股份有限公司煉鋼廠-P001 電弧爐-不透光率(10%)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-不透光率(20%)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-氮氧化物(95.5ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-一氧化碳(72.7ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-氯化氫(27.3ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-不透光率(20%)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-氮氧化物(95.5ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-一氧化碳(72.7ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-氯化氫(27.3ppm)-超標
20120203,0/0,0/0,0/0,0/0,1/1,16/15,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,20/19,0/0,33/33,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0
20120204,0/0,1/1,0/0,0/0,4/4,6/6,7/7,0/0,0/0,0/0,0/0,0/0,0/0,0/0,16/16,0/0,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120205,0/0,0/0,0/0,0/0,0/0,3/3,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,14/13,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120206,3/2,1/1,0/0,0/0,1/1,23/22,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,23/4,0/0,12/12,0/0,0/0,0/0,1/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120207,0/0,1/1,0/0,0/0,2/2,8/8,0/0,7/7,0/0,0/0,0/0,0/0,0/0,0/0,2/2,0/0,34/34,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120208,0/0,1/1,0/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,8/8,0/0,25/25,1/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120209,3/3,1/0,0/0,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,19/11,5/0,22/12,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120210,20/20,0/0,0/0,26/26,0/0,13/13,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,4/4,0/0,32/32,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120211,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,14/13,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120212,10/10,0/0,0/0,0/0,0/0,10/10,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,5/4,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120213,26/26,0/0,0/0,28/28,0/0,12/12,0/0,5/5,0/0,0/0,0/0,0/0,0/0,0/0,4/4,0/0,14/14,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120214,24/24,0/0,0/0,12/12,0/0,18/18,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,6/6,0/0,1/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120215,18/18,0/0,0/0,4/4,0/0,22/22,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,6/5,0/0,5/5,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120216,20/20,0/0,0/0,9/9,2/2,20/20,0/0,14/14,0/0,0/0,0/0,0/0,0/0,0/0,7/7,0/0,23/22,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120217,31/30,0/0,0/0,2/2,0/0,31/31,0/0,18/17,0/0,0/0,0/0,0/0,0/0,0/0,4/3,0/0,7/7,0/0,1/0,0/0,4/0,3/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120218,27/26,0/0,0/0,0/0,0/0,30/30,0/0,27/27,2/2,3/3,0/0,0/0,0/0,0/0,4/4,0/0,29/27,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120219,24/24,0/0,0/0,0/0,0/0,5/5,0/0,5/5,0/0,6/6,0/0,0/0,4/4,28/28,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120220,26/26,1/1,0/0,23/23,2/2,24/24,0/0,0/0,0/0,3/3,0/0,0/0,1/1,16/16,2/2,0/0,23/23,0/0,0/0,0/0,0/0,6/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120221,28/28,0/0,0/0,24/24,1/1,9/9,0/0,0/0,0/0,7/7,0/0,0/0,0/0,5/5,4/4,0/0,33/32,0/0,0/0,0/0,0/0,22/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120222,33/33,0/0,0/0,19/19,0/0,7/7,0/0,0/0,0/0,2/2,0/0,1/1,0/0,24/24,2/2,0/0,24/23,0/0,0/0,0/0,0/0,7/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0
20120223,17/17,0/0,0/0,19/19,0/0,3/3,0/0,0/0,0/0,1/1,0/0,0/0,0/0,17/14,2/2,0/0,21/20,0/0,0/0,0/0,0/0,4/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120224,5/5,0/0,0/0,7/7,0/0,0/0,0/0,0/0,0/0,2/2,0/0,3/1,6/6,17/17,9/8,0/0,30/30,0/0,0/0,0/0,0/0,4/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
